year,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2006–07,1,Manchester United (C),38,28,5,5,83,27,56,89,Qualification for the Champions League group stage
2006–07,2,Chelsea,38,24,11,3,64,24,40,83,Qualification for the Champions League group stage
2006–07,3,Liverpool,38,20,8,10,57,27,30,68,Qualification for the Champions League third qualifying round
2006–07,4,Arsenal,38,19,11,8,63,35,28,68,Qualification for the Champions League third qualifying round
2006–07,5,Tottenham Hotspur,38,17,9,12,57,54,3,60,Qualification for the UEFA Cup first round[a]
2006–07,6,Everton,38,15,13,10,52,36,16,58,Qualification for the UEFA Cup first round[a]
2006–07,7,Bolton Wanderers,38,16,8,14,47,52,-5,56,Qualification for the UEFA Cup first round[a]
2006–07,8,Reading,38,16,7,15,52,47,5,55,
2006–07,9,Portsmouth,38,14,12,12,45,42,3,54,
2006–07,10,Blackburn Rovers,38,15,7,16,52,54,-2,52,Qualification for the Intertoto Cup third round[b]
2006–07,11,Aston Villa,38,11,17,10,43,41,2,50,
2006–07,12,Middlesbrough,38,12,10,16,44,49,-5,46,
2006–07,13,Newcastle United,38,11,10,17,38,47,-9,43,
2006–07,14,Manchester City,38,11,9,18,29,44,-15,42,
2006–07,15,West Ham United,38,12,5,21,35,59,-24,41,
2006–07,16,Fulham,38,8,15,15,38,60,-22,39,
2006–07,17,Wigan Athletic,38,10,8,20,37,59,-22,38,
2006–07,18,Sheffield United (R),38,10,8,20,32,55,-23,38,Relegation to the Football League Championship
2006–07,19,Charlton Athletic (R),38,8,10,20,34,60,-26,34,Relegation to the Football League Championship
2006–07,20,Watford (R),38,5,13,20,29,59,-30,28,Relegation to the Football League Championship
