year,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2009–2010,1,Chelsea (C),38,27,5,6,103,32,71,86,Qualification for the Champions League group stage
2009–2010,2,Manchester United,38,27,4,7,86,28,58,85,Qualification for the Champions League group stage
2009–2010,3,Arsenal,38,23,6,9,83,41,42,75,Qualification for the Champions League group stage
2009–2010,4,Tottenham Hotspur,38,21,7,10,67,41,26,70,Qualification for the Champions League play-off round
2009–2010,5,Manchester City,38,18,13,7,73,45,28,67,Qualification for the Europa League play-off round[a]
2009–2010,6,Aston Villa,38,17,13,8,52,39,13,64,Qualification for the Europa League play-off round[a]
2009–2010,7,Liverpool,38,18,9,11,61,35,26,63,Qualification for the Europa League third qualifying round[b]
2009–2010,8,Everton,38,16,13,9,60,49,11,61,
2009–2010,9,Birmingham City,38,13,11,14,38,47,-9,50,
2009–2010,10,Blackburn Rovers,38,13,11,14,41,55,-14,50,
2009–2010,11,Stoke City,38,11,14,13,34,48,-14,47,
2009–2010,12,Fulham,38,12,10,16,39,46,-7,46,
2009–2010,13,Sunderland,38,11,11,16,48,56,-8,44,
2009–2010,14,Bolton Wanderers,38,10,9,19,42,67,-25,39,
2009–2010,15,Wolverhampton Wanderers,38,9,11,18,32,56,-24,38,
2009–2010,16,Wigan Athletic,38,9,9,20,37,79,-42,36,
2009–2010,17,West Ham United,38,8,11,19,47,66,-19,35,
2009–2010,18,Burnley (R),38,8,6,24,42,82,-40,30,Relegation to the Football League Championship
2009–2010,19,Hull City (R),38,6,12,20,34,75,-41,30,Relegation to the Football League Championship
2009–2010,20,Portsmouth (R),38,7,7,24,34,66,-32,19[c],Relegation to the Football League Championship
